State,Race,Year,Cause of death,"Cause of death, Simplified","Cause of death, Type",Cause of death Code,"Cause of Death Simplified, with ICD10 Code",Firearm Deaths,Total Deaths,Population,Firearm Death Rate (per 100k),Total Death Rate (per 100k),Firearm Percent of Total Deaths
Alabama,Black or African American,2002,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),29,11225,1182591,2.452,949,0.00258
Alabama,Black or African American,2002,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",14,11225,1182591,1.184,949,0.00125
Alabama,Black or African American,2002,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),149,11225,1182591,12.599,949,0.01327
Alabama,Black or African American,2002,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),39,11225,1182591,3.298,949,0.00347
Alabama,White,2002,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),23,34727,3229712,0.712,1075,0.00066
Alabama,White,2002,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),15,34727,3229712,0.464,1075,0.00043
Alabama,White,2002,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),74,34727,3229712,2.291,1075,0.00213
Alabama,White,2002,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),49,34727,3229712,1.517,1075,0.00141
Alabama,White,2002,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",43,34727,3229712,1.331,1075,0.00124
Alabama,White,2002,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),237,34727,3229712,7.338,1075,0.00682
Alabama,Black or African American,2003,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),11,11219,1190183,0.924,943,0.00098
Alabama,Black or African American,2003,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),24,11219,1190183,2.016,943,0.00214
Alabama,Black or African American,2003,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",18,11219,1190183,1.512,943,0.00160
Alabama,Black or African American,2003,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),169,11219,1190183,14.199,943,0.01506
Alabama,Black or African American,2003,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),10,11219,1190183,0.840,943,0.00089
Alabama,Black or African American,2003,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),27,11219,1190183,2.269,943,0.00241
Alabama,White,2003,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),23,35357,3241836,0.709,1091,0.00065
Alabama,White,2003,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),11,35357,3241836,0.339,1091,0.00031
Alabama,White,2003,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),91,35357,3241836,2.807,1091,0.00257
Alabama,White,2003,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),44,35357,3241836,1.357,1091,0.00124
Alabama,White,2003,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",47,35357,3241836,1.450,1091,0.00133
Alabama,White,2003,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),269,35357,3241836,8.298,1091,0.00761
Alabama,Black or African American,2004,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),11,11095,1199192,0.917,925,0.00099
Alabama,Black or African American,2004,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),24,11095,1199192,2.001,925,0.00216
Alabama,Black or African American,2004,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",10,11095,1199192,0.834,925,0.00090
Alabama,Black or African American,2004,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),128,11095,1199192,10.674,925,0.01154
Alabama,Black or African American,2004,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),11,11095,1199192,0.917,925,0.00099
Alabama,Black or African American,2004,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),37,11095,1199192,3.085,925,0.00333
Alabama,White,2004,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),16,34891,3255811,0.491,1072,0.00046
Alabama,White,2004,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),10,34891,3255811,0.307,1072,0.00029
Alabama,White,2004,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",11,34891,3255811,0.338,1072,0.00032
Alabama,White,2004,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),78,34891,3255811,2.396,1072,0.00224
Alabama,White,2004,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),42,34891,3255811,1.290,1072,0.00120
Alabama,White,2004,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",37,34891,3255811,1.136,1072,0.00106
Alabama,White,2004,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),239,34891,3255811,7.341,1072,0.00685
Alabama,Black or African American,2005,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),10,11248,1210903,0.826,929,0.00089
Alabama,Black or African American,2005,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),23,11248,1210903,1.899,929,0.00204
Alabama,Black or African American,2005,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",13,11248,1210903,1.074,929,0.00116
Alabama,Black or African American,2005,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),185,11248,1210903,15.278,929,0.01645
Alabama,Black or African American,2005,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),14,11248,1210903,1.156,929,0.00124
Alabama,Black or African American,2005,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),29,11248,1210903,2.395,929,0.00258
Alabama,White,2005,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),24,35701,3279048,0.732,1089,0.00067
Alabama,White,2005,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",11,35701,3279048,0.335,1089,0.00031
Alabama,White,2005,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),80,35701,3279048,2.440,1089,0.00224
Alabama,White,2005,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),40,35701,3279048,1.220,1089,0.00112
Alabama,White,2005,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",40,35701,3279048,1.220,1089,0.00112
Alabama,White,2005,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),241,35701,3279048,7.350,1089,0.00675
Alabama,Black or African American,2006,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),21,11275,1230534,1.707,916,0.00186
Alabama,Black or African American,2006,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",21,11275,1230534,1.707,916,0.00186
Alabama,Black or African American,2006,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),196,11275,1230534,15.928,916,0.01738
Alabama,Black or African American,2006,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),11,11275,1230534,0.894,916,0.00098
Alabama,Black or African American,2006,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),33,11275,1230534,2.682,916,0.00293
Alabama,White,2006,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),27,35511,3314160,0.815,1071,0.00076
Alabama,White,2006,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",10,35511,3314160,0.302,1071,0.00028
Alabama,White,2006,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),79,35511,3314160,2.384,1071,0.00222
Alabama,White,2006,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),32,35511,3314160,0.966,1071,0.00090
Alabama,White,2006,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",38,35511,3314160,1.147,1071,0.00107
Alabama,White,2006,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),283,35511,3314160,8.539,1071,0.00797
Alabama,Black or African American,2007,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),25,11040,1243867,2.010,888,0.00226
Alabama,Black or African American,2007,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",10,11040,1243867,0.804,888,0.00091
Alabama,Black or African American,2007,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),217,11040,1243867,17.446,888,0.01966
Alabama,Black or African American,2007,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),25,11040,1243867,2.010,888,0.00226
Alabama,White,2007,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),15,35502,3340633,0.449,1063,0.00042
Alabama,White,2007,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),12,35502,3340633,0.359,1063,0.00034
Alabama,White,2007,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",12,35502,3340633,0.359,1063,0.00034
Alabama,White,2007,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),99,35502,3340633,2.964,1063,0.00279
Alabama,White,2007,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),52,35502,3340633,1.557,1063,0.00146
Alabama,White,2007,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",34,35502,3340633,1.018,1063,0.00096
Alabama,White,2007,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),275,35502,3340633,8.232,1063,0.00775
Alabama,Black or African American,2008,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),25,11132,1259177,1.985,884,0.00225
Alabama,Black or African American,2008,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",15,11132,1259177,1.191,884,0.00135
Alabama,Black or African American,2008,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),200,11132,1259177,15.883,884,0.01797
Alabama,Black or African American,2008,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),39,11132,1259177,3.097,884,0.00350
Alabama,White,2008,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),21,36377,3366536,0.624,1081,0.00058
Alabama,White,2008,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),96,36377,3366536,2.852,1081,0.00264
Alabama,White,2008,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),42,36377,3366536,1.248,1081,0.00115
Alabama,White,2008,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",36,36377,3366536,1.069,1081,0.00099
Alabama,White,2008,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),296,36377,3366536,8.792,1081,0.00814
Alabama,White,2008,"Other and unspecified firearm discharge, undetermined intent","Unknown Intent, Unspecified Firearm",Unknown Intent,Y24,"Unknown Intent, Unspecified Firearm (Y24)",10,36377,3366536,0.297,1081,0.00027
Alabama,Black or African American,2009,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),23,10992,1271247,1.809,865,0.00209
Alabama,Black or African American,2009,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),169,10992,1271247,13.294,865,0.01537
Alabama,Black or African American,2009,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),32,10992,1271247,2.517,865,0.00291
Alabama,White,2009,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),19,36293,3389202,0.561,1071,0.00052
Alabama,White,2009,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),100,36293,3389202,2.951,1071,0.00276
Alabama,White,2009,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),53,36293,3389202,1.564,1071,0.00146
Alabama,White,2009,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",42,36293,3389202,1.239,1071,0.00116
Alabama,White,2009,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),340,36293,3389202,10.032,1071,0.00937
Alabama,Black or African American,2010,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),12,10981,1279072,0.938,859,0.00109
Alabama,Black or African American,2010,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),166,10981,1279072,12.978,859,0.01512
Alabama,Black or African American,2010,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),32,10981,1279072,2.502,859,0.00291
Alabama,White,2010,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),26,36852,3399975,0.765,1084,0.00071
Alabama,White,2010,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),84,36852,3399975,2.471,1084,0.00228
Alabama,White,2010,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),25,36852,3399975,0.735,1084,0.00068
Alabama,White,2010,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",26,36852,3399975,0.765,1084,0.00071
Alabama,White,2010,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),360,36852,3399975,10.588,1084,0.00977
Alabama,Black or African American,2011,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),12,11153,1293037,0.928,863,0.00108
Alabama,Black or African American,2011,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),187,11153,1293037,14.462,863,0.01677
Alabama,Black or African American,2011,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),39,11153,1293037,3.016,863,0.00350
Alabama,White,2011,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),19,37337,3406474,0.558,1096,0.00051
Alabama,White,2011,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),76,37337,3406474,2.231,1096,0.00204
Alabama,White,2011,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),32,37337,3406474,0.939,1096,0.00086
Alabama,White,2011,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",35,37337,3406474,1.027,1096,0.00094
Alabama,White,2011,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),337,37337,3406474,9.893,1096,0.00903
Alabama,White,2011,"Other and unspecified firearm discharge, undetermined intent","Unknown Intent, Unspecified Firearm",Unknown Intent,Y24,"Unknown Intent, Unspecified Firearm (Y24)",12,37337,3406474,0.352,1096,0.00032
Alabama,Black or African American,2012,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),212,11077,1302210,16.280,851,0.01914
Alabama,Black or African American,2012,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),45,11077,1302210,3.456,851,0.00406
Alabama,White,2012,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),81,38025,3413571,2.373,1114,0.00213
Alabama,White,2012,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),39,38025,3413571,1.142,1114,0.00103
Alabama,White,2012,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",32,38025,3413571,0.937,1114,0.00084
Alabama,White,2012,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),372,38025,3413571,10.898,1114,0.00978
